Grant #,Applicant Name,Account Status,FIPS #,County,Classification,PR
4486,"1100 MEDICAL ARTS PLAZA, LLC",Closed,086-UHGJY-00,Statewide,Other,Collin Kenline
1539,2-1-1 Brevard Inc.,Closed,000-UI1MG-00,Brevard,Non-Critical Private Non-Profit,Haley Beary
4283,2-1-1 Brevard Inc.,Closed,009-UOQA8-00,Brevard,Non-Critical Private Non-Profit,Haley Beary
4337,2-1-1 Brevard Inc.,Closed,000-UI1MG-00,Brevard,Non-Critical Private Non-Profit,Haley Beary
4486,2-1-1 Brevard Inc.,Closed,000-UI1MG-00,Brevard,Non-Critical Private Non-Profit,Haley Beary
3622,4MyCiTy,Opening,,Statewide,Other,Hamza Sattar
4673,A Man Apart Inc,Closed,127-U5JX3-00,Volusia,Non-Critical Private Non-Profit,Hamza Sattar
4834,4MyCiTy,Opening,086-UMWY7-00,Statewide,Other,Hamza Sattar
4680,A Man Apart Inc,Opening,127-U5JX3-00,Volusia,Non-Critical Private Non-Profit,Hamza Sattar
4486,A New Start: Financial & Social Services Inc.,Opening,011-UE0WW-00,Statewide,Other,Rachel Langston
4673,"A Piece To Our Puzzle, Inc",Active,071-UUTC5-00,Lee,Non-Critical Private Non-Profit,John Hayth
4486,A2 EXPRESS INC,Closed,011-UQOQB-00,Statewide,Other,Rachel Langston
1539,"Abuse Counseling and Treatment, Inc.",Closed,071-UDI7J-00,Lee,Non-Critical Private Non-Profit,Haley Beary
4486,Academy of Ability,Active,095-UF3JL-00,Orange,Critical Private Non-Profit,Hamza Sattar
4399,ACME Lodge #222,Closed,005-UHL3H-00,Bay,Non-Critical Private Non-Profit,Ashley Mitchell
4486,AHEPA 296 Senior Apartments,Closed,033-UP7JY-00,Escambia,Other,Ashley Mitchell
4337,"Achievement Academy, Inc",Closed,105-UL0S4-00,Polk,Critical Private Non-Profit,Ashley Mitchell
1539,Act Corporation,Closed,127-UKWJ9-00,Volusia,Non-Critical Private Non-Profit,Haley Beary
1545,Act Corporation,Closed,127-UKWJ9-00,Volusia,Non-Critical Private Non-Profit,Haley Beary
1561,Act Corporation,Closed,127-UKWJ9-00,Volusia,Non-Critical Private Non-Profit,Haley Beary
4337,"Advantage Academy of Miami, Inc.",Active,086-UPBVJ-00,Miami-Dade,Critical Private Non-Profit,John Hayth
4734,Advent Christian Village,Opening,121-UHMF3-00,Suwannee,Other,Haley Beary
1539,AdventHealth Orlando,Closed,000-UTKER-00,Orange,Critical Private Non-Profit,Hamza Sattar
3615,Advantage Village Academy,Opening,103-UT6KO-00,Pinellas,Other,John Hayth
1545,AdventHealth Orlando,Closed,000-UTKER-00,Orange,Critical Private Non-Profit,Hamza Sattar
4828,Advantage Village Academy,Opening,103-UT6KO-00,Pinellas,Other,John Hayth
1561,AdventHealth Orlando,Closed,000-UTKER-00,Orange,Critical Private Non-Profit,Hamza Sattar
4337,AdventHealth Orlando,Active,000-UTKER-00,Orange,Critical Private Non-Profit,Hamza Sattar
4828,Advent Christian Village,Opening,121-UHMF3-00,Suwannee,Other,Haley Beary
1539,"Adventist Care Centers, Inc",Closed,095-UX4UG-00,Orange,Other,Haley Beary
